2021-05-05 10:20:45,737 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.capitalone.dashboard.auth.DefaultAuthenticationTest], using SpringBootContextLoader
2021-05-05 10:20:45,746 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.capitalone.dashboard.auth.DefaultAuthenticationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-05-05 10:20:45,811 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:45,835 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16949dfa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@d6d683e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@42cfd794, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@43778371, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71beada8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@17f41739, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2b3b1124, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@54286339, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@507f47f9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6785df10, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@144440f5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3e2c8ef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@290807e5]
2021-05-05 10:20:45,839 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.capitalone.dashboard.auth.DefaultSecurityTest], using SpringBootContextLoader
2021-05-05 10:20:45,840 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.capitalone.dashboard.auth.DefaultSecurityTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-05-05 10:20:45,856 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:45,859 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3e28af44, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33891646, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3bdbf8d3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@f2becb2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7482309c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@f42336c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b3b4f37, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@3b25709e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ec6a1b6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@40013051, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@71f29d91, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6143b2b1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@a63643e]
2021-05-05 10:20:45,938 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
2021-05-05 10:20:45,939 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@d02c00, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4205d5d0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@29dfc68f, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@320ba79f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@333a2df2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5ffdd510, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@8c18bde, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@6719f206, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ae16aa, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@344a065a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3051e476, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1870b9b8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6d9ee75a]
2021-05-05 10:20:45,948 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener]
